director_name,mean_imdb_score
Ryan Little,6.8
Salvador Carrasco,6.8
Sam Peckinpah,6.8
Steven Shainberg,6.8
Tobe Hooper,6.8
Udayan Prasad,6.8
Yarrow Cheney,6.8
Tony Scott,6.79
Joe Wright,6.78
John Madden,6.78
Kevin Smith,6.78
Norman Jewison,6.78
Baltasar KormÃ¡kur,6.77
David Ayer,6.77
Jeff Tremaine,6.77
Lewis Gilbert,6.77
Phillip Noyce,6.77
Roger Donaldson,6.77
Wolfgang Petersen,6.77
Eric Darnell,6.76
Nancy Meyers,6.76
Neil Jordan,6.76
Costa-Gavras,6.75
Jake Schreier,6.75
James Gray,6.75
Penny Marshall,6.75
Rawson Marshall Thurber,6.75
D.J. Caruso,6.74
Alex Kendrick,6.73
Brad Furman,6.73
Jay Russell,6.73
Spike Lee,6.73
Tim Johnson,6.73
Tony Gilroy,6.73
Brian Helgeland,6.72
Martin Campbell,6.71
Steven Soderbergh,6.71
Ã‰mile Gaudreault,6.7
Andy Garcia,6.7
Audrey Wells,6.7
Bruce McDonald,6.7
Cecil B. DeMille,6.7
Christian Volckman,6.7
Drake Doremus,6.7
Ernest R. Dickerson,6.7
Ethan Maniquis,6.7
EugÃ¨ne LouriÃ©,6.7
Frank LaLoggia,6.7
Gregory Nava,6.7
James Bidgood,6.7
James Mottern,6.7
Jason Alexander,6.7
Jason Bateman,6.7
Jerry Zaks,6.7
Jonathan Lynn,6.7
Karen Moncrieff,6.7
Lance Mungia,6.7
Leslie Small,6.7
Liz Friedlander,6.7
Lorene Scafaria,6.7
Lucky McKee,6.7
Lucrecia Martel,6.7
Lynn Shelton,6.7
Matthew Diamond,6.7
Matthew Robbins,6.7
Michael Clancy,6.7
Nima Nourizadeh,6.7
Oliver Parker,6.7
Pat O'Connor,6.7
Patricia Rozema,6.7
Patrick Gilmore,6.7
Piyush Dinker Pandya,6.7
Rebecca Miller,6.7
Sharon Maguire,6.7
Stanley Tong,6.7
Thaddeus O'Sullivan,6.7
David Twohy,6.68
George Clooney,6.68
George Miller,6.68
Kevin Reynolds,6.68
Nicole Holofcener,6.68
David Gordon Green,6.67
Jodie Foster,6.67
Mark Dindal,6.67
Peter Berg,6.67
Roger Michell,6.67
Thomas Carter,6.67
Todd Phillips,6.66
Anand Tucker,6.65
Chris Columbus,6.65
David Dobkin,6.65
Evan Goldberg,6.65
Jessie Nelson,6.65
Jon Hurwitz,6.65
Richard Fleischer,6.65
Michael Bay,6.64
James Bobin,6.63
Jane Campion,6.63
John McTiernan,6.63
Luc Besson,6.63
Randall Wallace,6.63
Richard Donner,6.63
Gary Fleder,6.62
Abel Ferrara,6.6
Andrea Di Stefano,6.6
Ariel Vromen,6.6
Asger Leth,6.6
Brian De Palma,6.6
Carl Franklin,6.6
Chatrichalerm Yukol,6.6
Chris Nahon,6.6
Christophe Gans,6.6
Christopher Smith,6.6
Claude Chabrol,6.6
Daniel Espinosa,6.6
David Carson,6.6
David Frankel,6.6
Dean Wright,6.6
Dennis Iliadis,6.6
Eddie O'Flaherty,6.6
Florent-Emilio Siri,6.6
Floria Sigismondi,6.6
GÃ©rard Krawczyk,6.6
George Stevens,6.6
Gregory Hoblit,6.6
Gregory Widen,6.6
Hunter Richards,6.6
James Cox,6.6
Jeff Schaffer,6.6
Joe Cornish,6.6
John Glen,6.6
Jon Stewart,6.6
Joseph Gordon-Levitt,6.6
Judd Apatow,6.6
Kirk Jones,6.6
Laurie Collyer,6.6
Leonard Nimoy,6.6
Matthew O'Callaghan,6.6
Mike Gabriel,6.6
Neil Marshall,6.6
Nicholas Jarecki,6.6
Patrick Tatopoulos,6.6
Paul Michael Glaser,6.6
Peter Medak,6.6
Rob Marshall,6.6
Rod Lurie,6.6
Roger Avary,6.6
Scott Ziehl,6.6
Stefan Schwartz,6.6
Sterling Van Wagenen,6.6
Tamara Jenkins,6.6
Tim Boxell,6.6
Tony Bill,6.6
Wes Ball,6.6
Zak Penn,6.6
Barry Levinson,6.58
Mike Nichols,6.58
Sydney Pollack,6.58
Barbra Streisand,6.57
Jay Roach,6.57
Neil LaBute,6.57
Walter Salles,6.57
Bill Condon,6.56
Paul Verhoeven,6.56
Cameron Crowe,6.55
Fenton Bailey,6.55
Gil Kenan,6.55
Harold Ramis,6.55
Iain Softley,6.55
Jonathan Mostow,6.55
Lawrence Kasdan,6.55
Michael Landon Jr.,6.55
Peter Cattaneo,6.55
Uli Edel,6.55
Vincenzo Natali,6.55
Louis Leterrier,6.54
Mikael HÃ¥fstrÃ¶m,6.53
Nicholas Hytner,6.53
Richard Loncraine,6.53
Rupert Wyatt,6.53
Sidney Lumet,6.53
John Woo,6.52
Andrew Davis,6.5
Ari Sandel,6.5
Barry Skolnick,6.5
Christian Alvart,6.5
Christopher Scott Cherot,6.5
Chuck Sheetz,6.5
Clark Gregg,6.5
Cody Cameron,6.5
Cory Edwards,6.5
David Bowers,6.5
David Jacobson,6.5
David Soren,6.5
David Webb Peoples,6.5
Derrick Borte,6.5
Don Coscarelli,6.5
Eric Leighton,6.5
Fede Alvarez,6.5
Gary McKendry,6.5
Hart Bochner,6.5
Herbert Ross,6.5
James Fargo,6.5
James L. Brooks,6.5
Jamie Babbit,6.5
Jean-Jacques Mantello,6.5
Jennifer Wynne Farmer,6.5
Jim Mickle,6.5
Joby Harold,6.5
John McNaughton,6.5
John Milius,6.5
Jon Kasdan,6.5
Jon Turteltaub,6.5
Jonathan Hensleigh,6.5
Maria Maggenti,6.5
Michael Mayer,6.5
Michael Patrick Jann,6.5
Michael Spierig,6.5
Mike Figgis,6.5
Mike Flanagan,6.5
Mike McCoy,6.5
Mitch Davis,6.5
Niels Arden Oplev,6.5
Pete Jones,6.5
Peter Faiman,6.5
Peter Kassovitz,6.5
Ric Roman Waugh,6.5
Rich Cowan,6.5
Robert B. Weide,6.5
Robert Cary,6.5
Roger Spottiswoode,6.5
Rowdy Herrington,6.5
Russell Mulcahy,6.5
Scott Frank,6.5
Scott Speer,6.5
Scott Waugh,6.5
Sean McNamara,6.5
Seth MacFarlane,6.5
Sol Tryon,6.5
Susan Seidelman,6.5
Teddy Chan,6.5
Tim Chambers,6.5
Tom Hanks,6.5
Kimberly Peirce,6.48
Michael Winterbottom,6.48
Peyton Reed,6.48
Frank Miller,6.47
Jay Duplass,6.47
Richard Lester,6.47
Barry Sonnenfeld,6.46
Brett Ratner,6.46
David Koepp,6.46
Anne Fontaine,6.45
Bibo Bergeron,6.45
C. Jay Cox,6.45
Gurinder Chadha,6.45
Howard Zieff,6.45
Irwin Winkler,6.45
John Curran,6.45
Miguel Arteta,6.45
Mira Nair,6.45
Nicholas Stoller,6.45
Stephen Norrington,6.45
Warren Beatty,6.45
William Friedkin,6.45
Burr Steers,6.43
Frank Marshall,6.43
Jerry Zucker,6.43
Shana Feste,6.43
Frank Oz,6.41
Adam Rapp,6.4
Adrian Lyne,6.4
Allison Anders,6.4
Bille August,6.4
Bob Saget,6.4
Brian Koppelman,6.4
Chris Miller,6.4
Craig Zobel,6.4
Damian Nieman,6.4
Dan Rush,6.4
Daniel Myrick,6.4
David G. Evans,6.4
Dean Israelite,6.4
Douglas McGrath,6.4
E. Elias Merhige,6.4
Edward Norton,6.4
Emma-Kate Croghan,6.4
Eric Styles,6.4
Floyd Mutrux,6.4
Frank Nissen,6.4
Gareth Edwards,6.4
Heidi Ewing,6.4
Hironobu Sakaguchi,6.4
Hsiao-Hsien Hou,6.4
Hugh Hudson,6.4
James Watkins,6.4
Jaume Collet-Serra,6.4
Jeb Stuart,6.4
Jim Field Smith,6.4
Joe Dante,6.4
Jonathan Kaplan,6.4
Kevin Spacey,6.4
Kyle Balda,6.4
MÃ¥ns MÃ¥rlind,6.4
Michael Corrente,6.4
Mimi Leder,6.4
Noel Marshall,6.4
Peter Atencio,6.4
Phil Alden Robinson,6.4
Ramaa Mosley,6.4
Ray Lawrence,6.4
Richard Kelly,6.4
Rick Famuyiwa,6.4
Ricky Gervais,6.4
Robert Moresco,6.4
Steve Antin,6.4
Stuart Baird,6.4
Susan Stroman,6.4
Edward Burns,6.37
George P. Cosmatos,6.37
Jeff Wadlow,6.37
John Hamburg,6.37
Timur Bekmambetov,6.37
Darren Lynn Bousman,6.35
Morgan J. Freeman,6.35
Phyllida Lloyd,6.35
Robert Schwentke,6.35
Steven Zaillian,6.35
Tony Goldwyn,6.35
Ben Stiller,6.34
Joel Schumacher,6.34
Joe Johnston,6.33
John Waters,6.33
Victor Salva,6.33
Michael Apted,6.32
Tom Shadyac,6.31
Alan J. Pakula,6.3
Antonio Banderas,6.3
Ben Wheatley,6.3
Brendan Malloy,6.3
Bruce Campbell,6.3
Carl Rinsch,6.3
Christopher Cain,6.3
Clay Kaytis,6.3
Danny Leiner,6.3
David Nixon,6.3
Dick Richards,6.3
Gary Hardwick,6.3
Gary Shore,6.3
George Hickenlooper,6.3
Harry Beaumont,6.3
Hilary Brougher,6.3
Ira Sachs,6.3
Jared Hess,6.3
Jean-FranÃ§ois Richet,6.3
